Month,Year,Total_CBU_Export,Total_CKD_Set_Export,Total_Component_Part_Export,Total_CBU_Import,Total_CKD_Set_Import,Total_Component_Part_Import,Total_Production
JAN,2018,18.711,5.698,20.482,6.550,19.914,16.740,116.657
FEB,2018,17.950,5.826,6.421.193,8.288,16.865,16.080,100.758
MAR,2018,19.576,7.566,7.532.745,11.108,17.790,12.120,112.679
APR,2018,21.400,7.595,6.789.075,9.456,19.018,11.640,119.206
MAY,2018,20.124,7.157,7.655.348,7.730,17.375,13.140,114.707
JUN,2018,14.642,4.506,5.629.511,7.051,6.701,14.400,69.997
JUL,2018,25.159,8.812,9.298.134,10.213,16.851,14.040,130.260
AUG,2018,23.559,7.105,7.169.388,7.272,-,21.180,118.855
SEP,2018,26.632,6.743,7.562.696,4.156,-,15.660,112.473
OCT,2018,26.990,7.263,7.402.285,5.381,-,15.780,131.853
NOV,2018,24.859,7.161,7.301.695,4.639,-,14.220,117.797
DEC,2018,24.951,6.596,7.249.320,2.306,-,30.000,98.461
JAN,2019,22.195,41.732,6.878.168,3.306,-,-,106.291
FEB,2019,22.967,45.259,6.504.544,8.665,-,17.374.225,95.104
MAR,2019,25.485,46.882,8.761.568,6.334,-,6.917.535,113.803
APR,2019,20.341,45.183,7.824.863,5.082,-,11.199.077,104.643
MAY,2019,28.137,58.201,8.701.934,4.728,-,13.108.452,103.342
JUN,2019,18.661,25.547,4.916.225,7.694,-,17.478.290,69.213
JUL,2019,31.638,36.359,5.327.326,8.919,-,11.745.273,119.558
AUG,2019,36.469,34.648,6.290.118,6.092,-,18.723.009,119.708
SEP,2019,34.572,36.251,6.423.038,6.345,-,16.950.258,120.958
OCT,2019,35.080,30.760,6.484.918,8.114,-,17.792.379,122.968
NOV,2019,31.365,28.691,5.049.384,5.028,-,17.565.886,112.965
DEC,2019,25.113,81.912,6.153.218,3.569,-,30.861.986,98.295
JAN,2020,19.631,3.890,5.051.356,2.941,-,18.922.211,112.658
FEB,2020,31.106,4.961,5.758.392,5262,,15.550.906,104.034
MAR,2020,27.839,6.019,6.574.662,5349,,15.822.150,111.320
APR,2020,11.154,3.030,2.970.370,2879,,15.206.935,21.432
MAY,2020,6.750,791,2.231.531,2063,,7.434.289,2.510
JUN,2020,8.749,2.062,2.552.706,1778,,3.400.817,17.689
JUL,2020,14.894,2.258,2.655.562,1763,,819.916,24.413
AUG,2020,14.218,4.990,5.499.469,1470,,382.520,29.584
SEP,2020,21.041,6.810,7.068.201,3561,,473.857,59.573
OCT,2020,25.719,6.304,6.605.972,3390,,2.756.229,66.378
NOV,2020,25.584,5.331,6.712.378,2629,,5.039.037,72.386
DEC,2020,25.490,6.586,7.496.724,2088,,9.419.461,68.199
JAN,2021,20.454,7.904,7.240.516,2.109,-,7.453.192,76.319
FEB,2021,30.840,10.296,7.523.483,4522,,11.664.044,77.674
MAR,2021,27.531,11.287,7.625.797,5352,,12.859.687,102.889
APR,2021,23.769,9.472,8.098.365,4429,,11.249.741,94.167
MAY,2021,18.515,6.755,7.477.081,2975,,9.268.917,64.101
JUN,2021,26.094,7.242,6.458.480,5028,,14.621.552,99.329
JUL,2021,18.897,9.102,6.980.329,4152,,13.536.705,74.437
AUG,2021,18.913,8.108,7.573.568,4159,,12.260.603,101.833
SEP,2021,22.549,4.862,6.031.472,4778,,13.560.140,103.636
OCT,2021,28.393,4.058,7.245.589,3524,,12.449.477,98.308
NOV,2021,31.269,7.460,6.140.900,4891,,11.683.040,110.888
DEC,2021,27.415,5.418,7.284.029,1860,,11.142.434,118.386
JAN,2022,25.024,6.359,9.070.493,3.867,,12.058.941,119.432
FEB,2022,31.023,6.179,5.444.461,4.888,,21.874.027,114.970
MAR,2022,39.673,8.532,11.069.996,8.820,,27.461.875,136.988
APR,2022,36.211,10.243,13.355.451,4.302,,15.456.307,100.545
MAY,2022,26.428,9.534,11.677.983,4.388,,13.820.986,72.221
JUN,2022,39.952,11.122,10.270.618,5.868,,17.361.232,118.764
JUL,2022,43.914,9.344,15.528.382,9.726,,17.052.795,118.533
AUG,2022,43.708,7.869,34.564.525,8.505,,17.574.614,138.891
SEP,2022,48.597,5.756,11.517.793,8.756,,18.317.552,144.958
OCT,2022,50.062,7.720,14.572.690,8.527,,26.058.748,135.542
NOV,2022,39.014,8.108,16.913.753,6.691,,14.072.028,135.101
DEC,2022,49.996,5.775,12.853.696,8.960,,25.200.796,134.201
JAN,2023,44.355,4.036,14.630.685,7.399,,20.437.945,132.770
FEB,2023,46.063,5.299,17.144.428,9.798,,24.847.234,123.399
MAR,2023,44.148,5.420,13.037.301,9.902,,17.654.730,136.084
APR,2023,32.238,4.036,10.766.123,5.847,,13.741.499,75.213
MAY,2023,38.986,5.788,16.608.575,13.217,,25.077.681,119.825
JUN,2023,42.214,4.798,8.977.501,7.605,,16.312.107,114.859
JUL,2023,42.848,2.668,10.275.167,6.982,,26.200.318,122.656
AUG,2023,46.460,2.314,26.235.555,7.141,,18.448.153,122.970
SEP,2023,,,,,,,
OCT,2023,,,,,,,
NOV,2023,,,,,,,
DEC,2023,,,,,,,